Length, Lines Per Causal Unit, Parse Time, Prep Time
10000,10,41.275854,1.783041
10000,20,41.275854,1.547228
10000,30,41.275854,1.495698
10000,40,41.275854,1.503561
10000,50,41.275854,1.418747
10000,60,41.275854,1.491793
10000,70,41.275854,1.411874
10000,80,41.275854,1.390121
10000,90,41.275854,1.447158
10000,100,41.275854,1.398131
