Length, Variables, Parse Time, Prep Time
10000,100,4.420585,2.895909
10000,200,5.954863,2.942279
10000,300,8.153445,3.169056
10000,400,10.896939,3.439950
10000,500,14.609611,3.577861
10000,600,18.689812,3.959738
10000,700,23.465631,4.075950
10000,800,28.727626,4.374125
10000,900,34.441366,4.614752
10000,1000,40.790716,4.760145
