V,R,recovered_ATE,original_ATE,error_pct,parse_time,prep_time,model_time,relative_time,user_interactions,mean_irrelevant_cands
1000,1,1.78,2.00,10.97,4.06,0.02,6.80,N/A,9,0
10,5,2.11,2.00,5.31,0.19,0.17,1.34,N/A,9,0
10,1,2.00,2.00,0.05,0.15,0.04,1.36,N/A,9,0
100,1,1.96,2.00,2.16,0.46,0.03,1.78,N/A,9,0
100,5,1.60,2.00,20.10,0.46,0.03,2.43,N/A,9,0
1000,10,0.12,2.00,94.03,3.38,0.04,5.97,N/A,9,0
10,10,1.97,2.00,1.33,0.14,0.11,1.86,N/A,9,0
1000,5,0.62,2.00,69.03,3.16,0.04,5.57,N/A,9,0
100,10,0.87,2.00,56.42,0.47,0.03,4.91,N/A,9,0
