,true ATE,sawmill ATE,regression ATE,sawmill MRR,regression MRR,Sawmill ATE Error,regression ATE Error
0,-156.47,-156.47,0.0,0.5666666666666667,0.047619047619047616,0.0,1.0
1,-0.68,-0.68,0.0,1.0,0.0,0.0,1.0
2,0.01,0.01,0.0,1.0,0.0,0.0,1.0
3,1.1,1.1,0.0,1.0,0.0,0.0,1.0
4,258.43,257.47,273.00682441679135,1.0,1.0,0.0037147390008899104,0.056405310593937774
5,114.86,112.66,118.04337273916579,1.0,1.0,0.019153752394219074,0.027715242374767458
6,28.71,27.28,25.936479991649414,1.0,1.0,0.049808429118773936,0.09660466765414794
7,258.43,258.64,256.01231103476886,1.0,1.0,0.000812599156444606,0.009355295303297411
8,114.86,121.45,119.3751728298955,1.0,1.0,0.05737419467177436,0.03931022836405629
9,28.71,33.98,35.300163632070436,1.0,1.0,0.18355973528387307,0.22954244625811338
10,258.43,258.57,264.49957951915104,1.0,1.0,0.0005417327709630707,0.023486358082076515
11,114.86,85.66,84.78751663232882,1.0,0.06666666666666667,0.2542225317778165,0.26181859104711114
12,28.71,42.64,45.17679858173687,1.0,0.06666666666666667,0.4851967955416231,0.5735562027773203
13,2.0,2.0,1.999021442459913,0.6666666666666666,0.6666666666666666,0.0,0.0004892787700434553
14,2.0,2.11,2.098451600241571,0.611111111111111,0.5555555555555556,0.05499999999999994,0.04922580012078548
15,2.0,1.97,1.9750327494164857,0.6666666666666666,0.5833333333333334,0.015000000000000013,0.012483625291757172
16,2.0,1.96,1.9509316770117509,0.6666666666666666,0.5476190476190476,0.020000000000000018,0.024534161494124573
17,2.0,1.6,1.583530912836726,0.6666666666666666,0.5370370370370371,0.19999999999999996,0.20823454358163695
18,2.0,0.87,0.8620692847663007,0.38888888888888884,0.6666666666666666,0.565,0.5689653576168496
19,2.0,1.78,0.3744973437855225,0.6666666666666666,0.0,0.10999999999999999,0.8127513281072387
20,2.0,0.62,-1.6138249656342485,0.6666666666666666,0.0,0.69,1.8069124828171241
21,2.0,0.12,0.3491253209102977,0.6666666666666666,0.0,0.94,0.8254373395448511
